destinations_count;cost;execution_time;sequence
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001192092895507812;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001311302185058594;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00002121925354003906;(1, 2, 3)
4;110722;0.00001907348632812500;(1, 2, 3)
4;110722;0.00001358985900878906;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00002336502075195312;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001335144042968750;(1, 2, 3)
4;110722;0.00001358985900878906;(1, 2, 3)
4;110722;0.00001335144042968750;(1, 2, 3)
4;110722;0.00001382827758789062;(1, 2, 3)
4;110722;0.00002408027648925781;(1, 2, 3)
4;110722;0.00003814697265625000;(1, 2, 3)
4;110722;0.00001192092895507812;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00002932548522949219;(1, 2, 3)
4;110722;0.00001335144042968750;(1, 2, 3)
4;110722;0.00001835823059082031;(1, 2, 3)
4;110722;0.00001335144042968750;(1, 2, 3)
4;110722;0.00001358985900878906;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001406669616699219;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001192092895507812;(1, 2, 3)
4;110722;0.00002336502075195312;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001335144042968750;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001525878906250000;(1, 2, 3)
4;110722;0.00001168251037597656;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001335144042968750;(1, 2, 3)
4;110722;0.00001358985900878906;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001454353332519531;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001358985900878906;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001311302185058594;(1, 2, 3)
4;110722;0.00003385543823242188;(1, 2, 3)
4;110722;0.00001454353332519531;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001192092895507812;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001287460327148438;(1, 2, 3)
4;110722;0.00001192092895507812;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00002956390380859375;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001192092895507812;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001215934753417969;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
4;110722;0.00001239776611328125;(1, 2, 3)
4;110722;0.00001311302185058594;(1, 2, 3)
4;110722;0.00001263618469238281;(1, 2, 3)
